,model,model__learning_rate,model__n_estimators,model__n_neighbors,model__C,model__degree,model__gamma,model__kernel,mean_test_score,std_test_score,rank
42,KNeighborsClassifier(),,,1.0,,,,,0.7458866544789763,0.006999711191042217,43
41,KNeighborsClassifier(),,,2.0,,,,,0.6855575868372943,0.025416589472342793,45
36,KNeighborsClassifier(),,,2.0,,,,,0.6855575868372943,0.025416589472342793,45
33,KNeighborsClassifier(),,,5.0,,,,,0.6819012797074955,0.014676624670925911,47
40,KNeighborsClassifier(),,,5.0,,,,,0.6819012797074955,0.014676624670925911,47
34,KNeighborsClassifier(),,,6.0,,,,,0.676416819012797,0.00455940927943043,49
38,KNeighborsClassifier(),,,3.0,,,,,0.6617915904936015,0.03212587738043532,50
35,KNeighborsClassifier(),,,3.0,,,,,0.6617915904936015,0.03212587738043532,50
32,KNeighborsClassifier(),,,3.0,,,,,0.6617915904936015,0.03212587738043532,50
37,KNeighborsClassifier(),,,7.0,,,,,0.6489945155393053,0.019652023730709033,53
39,KNeighborsClassifier(),,,8.0,,,,,0.643510054844607,0.03808952660318912,54
19,AdaBoostClassifier(random_state=0),0.017791721301529315,181.0,,,,,,0.473491773308958,0.012269700906324963,55
11,AdaBoostClassifier(random_state=0),0.016669798531154526,400.0,,,,,,0.473491773308958,0.012269700906324963,55
20,AdaBoostClassifier(random_state=0),0.011463853720808664,231.0,,,,,,0.4716636197440585,0.032120204520478826,57
10,AdaBoostClassifier(random_state=0),0.03127472006138835,400.0,,,,,,0.46617915904936014,0.027146196412047963,58
30,AdaBoostClassifier(random_state=0),0.01528409151147673,279.0,,,,,,0.46617915904936014,0.004641078395939637,58
26,AdaBoostClassifier(random_state=0),0.02144647416892165,400.0,,,,,,0.45886654478976235,0.0232494470217364,60
28,AdaBoostClassifier(random_state=0),0.023434059362913984,205.0,,,,,,0.45886654478976235,0.006724052954135953,60
12,AdaBoostClassifier(random_state=0),0.006262029858050981,400.0,,,,,,0.44972577696526506,0.042877150489505085,62
13,AdaBoostClassifier(random_state=0),0.026167936993928897,316.0,,,,,,0.44789762340036565,0.02165565862680381,63
17,AdaBoostClassifier(random_state=0),0.0745331938454285,74.0,,,,,,0.4405850091407678,0.032466943212984836,64
29,AdaBoostClassifier(random_state=0),0.005360039891035052,396.0,,,,,,0.4351005484460695,0.04082672460949986,65
16,AdaBoostClassifier(random_state=0),0.10290550211610676,185.0,,,,,,0.43327239488117003,0.015359219938153035,66
9,AdaBoostClassifier(random_state=0),0.006046243020798009,299.0,,,,,,0.4149908592321755,0.03454765681581743,67
50,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,21670.28427969002,3.0,3.569150746427225e-05,poly,0.41316270566727603,0.02570405973095018,68
23,AdaBoostClassifier(random_state=0),0.0029128101560634834,206.0,,,,,,0.3583180987202925,0.026844898655943666,69
1,AdaBoostClassifier(random_state=0),0.18097721611320652,133.0,,,,,,0.35283363802559414,0.013004229744304513,70
8,AdaBoostClassifier(random_state=0),0.06528931519525796,24.0,,,,,,0.3473491773308958,0.05915218716845918,71
